Title,Year,Architects,Product,Category,Image
Restaurant PaCatar / Donaire Arquitectos,2011,Juan Pedro Donaire¨ÜLocation,Brick,Others,https://images.adsttc.com/media/images/5017/0d36/28ba/0d23/5b00/0b94/newsletter/stringio.jpg?1361410096
Brighton Implant Clinic / Pedra Silva Architects,2011,Pedra Silva Architects,Brick,Others,https://images.adsttc.com/media/images/5017/0b07/28ba/0d23/5b00/0b1a/newsletter/stringio.jpg?1417959030
Cranbrook Art Museum / SmithGroup JJR,2011,Smith,Brick,Museum,https://images.adsttc.com/media/images/5017/2976/28ba/0d23/5b00/114e/newsletter/stringio.jpg?1414457286
Cranbrook Art Museum / SmithGroup JJR,2011,Smith,Brick,Museum,https://images.adsttc.com/media/images/5017/2976/28ba/0d23/5b00/114e/newsletter/stringio.jpg?1414457286
Embassy Ethiopia / Bjarne Mastenbroek and Dick Van Gameren,2012,Bjarne Mastenbroek and Dick Van Gameren,Brick,Others,https://images.adsttc.com/media/images/5004/d8b9/28ba/0d4e/8d00/07ed/newsletter/stringio.jpg?1428284706
Lauren Kennedy and Alan Campbell Theatre / Pearce Brinkley Cease + Lee,2012,Pearce Brinkley Cease + Lee,Brick,Others,https://images.adsttc.com/media/images/5017/4339/28ba/0d77/a800/051f/newsletter/stringio.jpg?1414932707
The Garden House / Durbach Block Jaggers,2012,Durbach Block Jaggers,Brick,Houses,https://images.adsttc.com/media/images/5004/f0cb/28ba/0d4e/8d00/1063/newsletter/stringio.jpg?1414531365
Timayui Kindergarten / Giancarlo Mazzanti,2012,Giancarlo Mazzanti,Brick,Others,https://images.adsttc.com/media/images/5004/f2b0/28ba/0d4e/8d00/10e5/newsletter/stringio.jpg?1361396713
Leon de Grief  Park / Giancarlo Mazzanti,2008,Giancarlo Mazzanti,Concrete,Others,https://images.adsttc.com/media/images/500e/bea3/28ba/0d0c/c700/0199/newsletter/stringio.jpg?1414397369
House for architects and artists / AFGH,2008,AFGH / Andreas Fuhrimann - Gabrielle Hachler (Switzerland)Location,Concrete,Houses,https://images.adsttc.com/media/images/500e/c721/28ba/0d0c/c700/0450/medium_jpg/stringio.jpg?1414325856
Signalhuset / NOBEL,2008,NOBEL,Concrete,Apartments,https://images.adsttc.com/media/images/500e/c6b0/28ba/0d0c/c700/0435/newsletter/stringio.jpg?1429101178
Seifert House / Bau Kultur,2008,Bau Kultur,Concrete,Houses,https://images.adsttc.com/media/images/500e/c3d9/28ba/0d0c/c700/0352/newsletter/stringio.jpg?1413998437
Rafael Arozarena High School / AMP arquitectos,2008,"Felipe Artengo, Fernando Menis, Jos?© Maria Rodriguez Pastrana",Concrete,Others,https://images.adsttc.com/media/images/500e/dd5d/28ba/0d0c/c700/0a3c/newsletter/stringio.jpg?1414327242
Villa by the Ocean / JVA,2008,Jarmund/Vigsn?∂s AS Architects MNAL,Concrete,Houses,https://images.adsttc.com/media/images/500e/d314/28ba/0d0c/c700/0790/newsletter/stringio.jpg?1414326266
White Cave / Takao Shiotsuka Atelier,2008,Takao Shiotsuka Atelier,Concrete,Houses,https://images.adsttc.com/media/images/5010/0a24/28ba/0d42/2200/0654/newsletter/stringio.jpg?1414336028
Los Silos Youth Centre / Lavin Arquitectos,2008,"Lavin Arquitectos - Alejandro Lav??n della Ventura, Francisco Miguel Lav??n della Ventura",Concrete,Others,https://images.adsttc.com/media/images/5010/1dbf/28ba/0d42/2200/0bdb/newsletter/stringio.jpg?1414337467
Council Sport Complex / Vora Arquitectura,2008,Vora Arquitectura - Pere Buil Castells & Jordi Fornells Castell??Location,Concrete,Others,https://images.adsttc.com/media/images/5010/1959/28ba/0d42/2200/0a97/newsletter/stringio.jpg?1414337089
Rio de Janeiro Residence / TAMABI,2008,TAMABI - Tatiana Letier,Concrete,Others,https://images.adsttc.com/media/images/5010/284d/28ba/0d42/2200/0eaa/newsletter/stringio.jpg?1361407954
Food Container Remixed / Spacelab Architects,2008,Spacelab architects - Luca Silenzi,Concrete,Others,https://images.adsttc.com/media/images/5010/2a93/28ba/0d42/2200/0f2c/newsletter/stringio.jpg?1361407967
